airQuality,illness,light,id,fire,sound,soilMoisture,pressure,waterLevel,temperature,humidity,createdAt
1015.0,Normal,541.0,499,82.0,448.0,1.0,100.3149,7.0,25.0,17.0,2019-03-23 20:18:50.392
1016.0,Normal,537.0,498,80.0,445.0,1.0,101.2012,7.0,25.0,17.0,2019-03-23 20:18:39.348
1016.0,Normal,531.0,497,81.0,441.0,1.0,101.6887,7.0,25.0,17.0,2019-03-23 20:18:28.254
1016.0,Normal,551.0,496,81.0,456.0,1.0,101.986,7.0,25.0,17.0,2019-03-23 20:18:17.181
1016.0,Normal,547.0,495,81.0,452.0,1.0,101.9772,6.0,25.0,17.0,2019-03-23 20:18:06.13
1015.0,Normal,521.0,494,82.0,433.0,1.0,100.5663,7.0,25.0,17.0,2019-03-23 20:17:55.047
1015.0,Normal,539.0,493,81.0,447.0,1.0,100.5252,7.0,25.0,17.0,2019-03-23 20:17:43.991
1017.0,Normal,545.0,492,81.0,451.0,1.0,101.2139,6.0,25.0,17.0,2019-03-23 20:17:32.916
1017.0,Normal,542.0,491,80.0,449.0,1.0,100.6782,6.0,25.0,16.0,2019-03-23 20:17:21.857
1018.0,Normal,555.0,490,81.0,459.0,1.0,100.7471,7.0,25.0,17.0,2019-03-23 20:17:10.789
1016.0,Normal,538.0,489,81.0,446.0,1.0,100.8723,7.0,25.0,17.0,2019-03-23 20:16:59.718
1016.0,Normal,532.0,488,82.0,442.0,1.0,101.519,6.0,25.0,17.0,2019-03-23 20:16:48.642
1015.0,Normal,541.0,487,82.0,448.0,1.0,101.3369,8.0,25.0,16.0,2019-03-23 20:16:37.58
1016.0,Normal,543.0,486,82.0,449.0,1.0,101.905,7.0,25.0,16.0,2019-03-23 20:16:26.516
1016.0,Normal,544.0,485,81.0,451.0,1.0,100.9254,7.0,25.0,17.0,2019-03-23 20:16:15.447
1016.0,Normal,536.0,484,82.0,446.0,1.0,100.2307,6.0,25.0,17.0,2019-03-23 20:16:04.383
